AuthorName,ReviewBody,RatingValue,RatingMax,ReviewTitle,DatePublished,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Departure,Arrival
L Tran,"✅Trip Verified| The check-in process was smooth. I got access to the IGA Lounge which was nice, but not as nice has the Turkish Airlines Lounge. On board was what all this flight was about. This was my first time flying Intra-European Business Class, and though I was well prepared, I still found it underwhelming. First, the seat is just a normal economy seat, with the middle seat blocked off. There is no personal IFE, so basically no entertainment for a 3-hour flight. Meal service was very slow, and by the time it reached half of the business class cabin, one of the 2 choices ran out, plus the meal was not as good as the economy meal I got on my Turkish Airlines flight a few days ago. I could see that staff did their best, but since there were 32 business class passengers on a single aisle aircraft with a small galley, there was so much they could do. Also, the 32 passengers shared one single WC, meaning a long line for the bath room, something I have rarely seen in business class. Arrived at LHR, we did not get a contact gate, but the thing was that there was no bus either, and the crew announced that they had no idea when the bus would come. It finally came, of course, and the delay was more on the airport than the airline, but since BA is the main operator at Heathrow T5, such things will affect their reputation.",3.0,10.0,"""I still found it underwhelming""",2022-09-25,A320-200,Solo Leisure,Business Class,Istanbul to London Heathrow,2022-09,no,Istanbul , London Heathrow
L Tran,"✅Trip Verified| This is my first time flying BA's new Club Suite, which, in my opinion, is very good. Flight to the US, including mine, departed from concourse C of Terminal 5 which did not have many shopping or dining options. However, it was quiet so finding seating was quite easy. The highlight is the Club Suite, which is spacious and provides a great deal of privacy. Meal service was slow, and everything was served on one tray, all at once. I think now is the time for them to begin to get back to pre-pandemic standard. At least the food tasted good, which was not something I previously experienced on BA flights, even in First Class.",9.0,10.0,"""At least the food tasted good""",2022-09-25,Boeing 777-200,Solo Leisure,Business Class,London Heathrow to New York JFK,2022-09,yes,London Heathrow , New York JFK
S Hearne,✅Trip Verified|  Flight was 1 hour late leaving gate. Crew were friendly. Seats comfortable. But the complimentary snack provided was a bag of ready salted crisps.,5.0,10.0,"""Crew were friendly""",2022-09-14,A320,Couple Leisure,Economy Class,London to Lisbon,2022-09,yes,London , Lisbon
Carlo Bell,Not Verified|  Flight was cancelled at the last minute due to “weather” despite pretty much all other flights not being affected. Booked onto a flight the next day. Arrived at the airport 2.5 hours ahead T5. Horrendous check-in and security delays meant we almost missed the new flight. The flight was fine once we got on it but the damage was done.,2.0,10.0,"""Flight was cancelled at the last minute""",2022-09-07,Boeing 777,Family Leisure,Economy Class,London to Rome,2022-08,no,London , Rome
Neil Nerva,"✅Trip Verified|  Full afternoon flight. Ready to fly on time. Arrived early. Uneventful flight. Good service. Pre dinner drinks. Drink with meal. Coffee, Drinks available at back. AVML meal was tasty. Hard working crew on a full flight. Audio worked well.",9.0,10.0,"""Hard working crew""",2022-08-23,Boeing 787,Couple Leisure,Economy Class,Tel Aviv to London,2022-08,yes,Tel Aviv , London
Stan Van Wyk,"Not Verified|  On our recommendation my son and his young family (child 4 and baby 9 months) and wife, flew BA to the USA from Cape Town, leaving yesterday evening. Just got off the call with him, after their arrival at Heathrow. Shocked at what he told us re the cabin service provided (or not!!) especially as my wife and I have used them many times a year for + 20 years of business flights from RSA, this our recommendation to him to use them for his holiday. My grandson had a coughing fit, so they asked (bell push) 4 times for glass of water - all ignored. Last one was told ""wait till drinks are served!"" Then when evening meal served - no food available for the 4 year old, which was pre-ordered online, they said nothing available and when my son explained it had been pre-ordered - the cabin staff supervisors response - ""prove it Sir"", that sealed it for us, if that’s the BA response to what’s seen as cattle class - it will permeate to our normal travel class, so our next booking will be an alternate.",1.0,10.0,"""no food available for the 4 year old""",2022-08-04,Boeing 777,Family Leisure,Economy Class,Cape Town to London Heathrow,2022-08,no,Cape Town , London Heathrow
Ian Sinclair,✅Trip Verified| Despite BA's promise to credit double tier points for a holiday booked on their website I have received no additional points and my four email communications (including to the Chief Executive) have remained unanswered. Do not be taken in by this marketing con - they just want you to book a holiday and then do not follow up on their promises. Some things just do not change at BA.,1.0,10.0,"""Some things just do not change at BA""",2022-07-27,A320,Solo Leisure,Business Class,London to Marrakesh,2022-06,no,London , Marrakesh
E Smyth,"✅Trip Verified|  Flight on A380 SFO to LHR. Smooth check in at San Francisco. Airport quiet and efficient. Dedicated BA lounge, excellent food and beverage options and attentive staff. Lounge was very crowded though. Minor departure delay and onto A380 upper deck. I prefer the club world cabin on the upper deck as it is very much quieter. Old style product but clean and well maintained. Staff offered a good level of service and reasonable meals. On time arrival, baggage quite slow. A good flight overall.",8.0,10.0,"""A good flight overall""",2022-07-23,A380,Family Leisure,Business Class,San Francisco to London,2022-07,yes,San Francisco , London
Frank Houiellebecq,"✅Trip Verified|  For this 5 hour 15 min flight, you are given a bag of potato chips, and a bottle of water. If you want to purchase more food and drink you do this via their app on your phone. Or like me you can pre-order weeks before you fly. However there is no guarantee you will get your order, mine never came, so after enquiring where the order was, they told me they had food for someone who was not on the plane, that someone was me it turned out. They also managed to lose my luggage.  I am still waiting for them to contact me regarding it. I will never use them again.",1.0,10.0,"""managed to lose my luggage""",2022-07-22,A320,Solo Leisure,Economy Class,London to Amman,2022-05,no,London , Amman
J Tydeman,Not Verified|  Reasonably smooth boarding. Meal service was smooth ad efficient but no ice or spirits available as no room on the trolley - could they have offered to serve this afterwards? Seat was very uncomfortable indeed on this aircraft so got little if any sleep on the long overnight flight. Cabin crew spent much of the time between meals talking loudly at the rear galley meaning we couldn't sleep even if the seats were comfortable. This was so disrespectful and inconsiderate.,5.0,10.0,"""Seat was very uncomfortable""",2022-07-18,A350-1000,Couple Leisure,Economy Class,Sao Paulo to Heathrow,2022-07,yes,Sao Paulo , Heathrow
